"Sell_value","data_osservazione","days_to_maturity","r_norisk_daily","r_norisk_annual","r_composite"
"99.784667","2024-09-23","17","0.00215797683626084","0.0474030981599545","0.00272434475363874"
"99.799111","2024-09-24","16","0.0020129337625062","0.0469742884542304","0.00286902338978487"
"99.810833","2024-09-25","15","0.00189525519739924","0.0471841919905827","0.00307365599985863"
"99.819944","2024-09-26","14","0.00180380786428806","0.048139513501767","0.00335833575779162"
"99.831","2024-09-27","13","0.00169286093498009","0.048668948758688","0.00365551478076846"
"99.883","2024-10-01","9","0.00117137050348913","0.0486559780907061","0.00527881370855249"
"99.896889","2024-10-02","8","0.00103217428522722","0.0482267594920343","0.00588749200682112"
"99.909583","2024-10-03","7","0.000904988263237994","0.0483302614265129","0.00674266731474637"
"99.921167","2024-10-04","6","0.000788951954494317","0.0491785542582079","0.00800125478538103"
"99.960417","2024-10-07","3","0.000395986743432586","0.0493814057998219","0.0160669510754467"
